bugID,hour,week_day,month_day,month,year_day,component,title_size,platform,severity,priority,cc_count,comment_size,invalid_status,is_closed,patch_count,fixing_time,reopened_count,triaging_time,uptime,developer_count,reporter_exp,assignee_exp,region
205735,16,Wed,14,May,134,159,18,All,critical,--,22,132,YES,1,4,7866,1,1138.99,398.0,33,1,1,isolated
209598,15,Mon,16,Jun,167,49,8,x86,critical,P3,13,105,NO,1,3,48964,0,1791.44,345.0,19,4,2,isolated
218556,2,Sun,7,Sep,250,9,9,All,critical,--,23,164,NO,1,1,804,1,-1,403.0,30,1,3,high
219006,22,Thu,11,Sep,254,44,6,x86,critical,--,8,139,YES,1,0,10549,0,229.42,300.5,10,3,1,isolated
223144,13,Tue,21,Oct,294,6,6,x86,critical,--,10,827,NO,0,0,-1,0,-1,16.0,4,4,2,isolated
228630,23,Mon,15,Dec,349,111,3,x86,critical,P5,8,1164,YES,1,0,69611,0,-1,1.0,6,5,3,isolated
231776,20,Wed,21,Jan,21,23,13,All,critical,P2,29,109,YES,1,0,16745,1,-1,278.0,34,1,3,moderate
237760,2,Wed,17,Mar,77,6,19,x86,critical,--,17,113,YES,1,1,3374,0,-1,136.0,20,2,3,isolated
238322,14,Mon,22,Mar,82,119,5,x86,critical,P5,7,506,NO,0,0,-1,0,-1,3668.0,6,6,4,skewed
243174,5,Mon,10,May,131,111,9,x86,critical,P1,7,153,NO,1,1,205,0,6.41,217.0,14,1,3,high
244454,14,Sun,23,May,144,23,9,x86,critical,P2,10,144,NO,1,1,597,0,14.96,1508.0,10,1,4,isolated
245295,20,Tue,1,Jun,153,39,3,x86,critical,--,6,71,NO,1,2,6441,0,255.22,224.5,7,7,1,isolated
250900,10,Sun,11,Jul,193,195,18,x86,critical,P3,13,102,NO,1,5,699,0,11.13,37.5,19,1,4,isolated
253479,17,Wed,28,Jul,210,296,8,All,critical,--,13,127,NO,1,1,12241,0,-1,771.5,19,1,5,isolated
253625,16,Thu,29,Jul,211,111,9,x86,critical,P5,7,822,YES,1,0,70919,0,-1,108.5,7,8,5,moderate
254161,8,Tue,3,Aug,216,119,3,x86,critical,P5,8,2407,YES,1,1,52752,0,-1,3578.0,8,9,6,skewed
258843,2,Sat,11,Sep,255,39,6,x86,critical,P1,16,115,NO,1,1,155,0,6.44,300.0,12,1,6,isolated
262468,9,Fri,1,Oct,275,1103,19,x86,critical,--,2,1509,NO,1,0,67326,0,-1,254.0,10,1,1,isolated
265736,4,Sat,23,Oct,297,28,7,x86,critical,--,15,139,NO,1,5,8910,1,-1,9604.0,24,1,1,isolated
265899,15,Sun,24,Oct,298,298,4,x86,critical,--,7,112,YES,1,0,3608,0,-1,141.0,12,1,4,isolated
269568,18,Fri,12,Nov,317,437,16,x86,critical,--,21,4052,NO,1,7,7005,1,290.4,113.0,26,1,1,isolated
271669,21,Wed,24,Nov,329,49,3,All,critical,--,19,83,NO,1,3,12254,0,500.69,2167.0,18,1,7,isolated
272286,12,Mon,29,Nov,334,111,14,All,critical,--,9,136,YES,1,0,24241,0,-1,2287.0,12,1,1,isolated
274425,6,Mon,13,Dec,348,13,14,x86,critical,--,26,167,YES,1,0,41942,0,-1,855.0,30,1,5,isolated
275654,23,Tue,21,Dec,356,15,8,x86,critical,--,13,117,YES,1,0,15,0,-1,511.0,10,1,6,isolated
281098,11,Fri,4,Feb,35,204,12,x86,critical,--,3,169,NO,0,0,-1,0,-1,431.0,8,1,7,isolated
282707,6,Fri,18,Feb,49,36,11,x86,critical,--,8,50,NO,1,1,7036,0,197.9,515.0,10,3,1,isolated
283140,2,Tue,22,Feb,53,23,9,All,critical,--,4,39,NO,1,1,137,0,-1,421.0,5,4,2,isolated
283147,3,Tue,22,Feb,53,16,10,x86,critical,--,4,36,NO,1,2,355,0,5.09,2662.0,6,5,2,isolated
287504,23,Wed,23,Mar,82,39,5,All,critical,P2,2,126,NO,1,1,20,0,0.0,42.0,4,3,8,moderate
288500,12,Thu,31,Mar,90,23,7,x86,critical,--,9,831,YES,1,0,64435,0,-1,98.0,7,1,8,isolated
288763,7,Sat,2,Apr,92,49,13,x86,critical,--,13,98,NO,1,6,11682,0,486.17,532.0,14,1,2,isolated
291902,0,Tue,26,Apr,116,153,6,All,critical,P2,9,169,NO,1,3,4119,0,-1,124.5,14,6,3,isolated
292033,18,Tue,26,Apr,116,7,6,All,critical,--,5,152,YES,1,0,23715,0,-1,1303.0,6,1,4,isolated
292549,13,Sun,1,May,121,374,9,x86,critical,P2,17,78,NO,1,1,25644,0,-1,2.0,25,1,1,moderate
295666,23,Thu,26,May,146,111,7,x86,critical,P3,10,116,NO,1,1,950,0,-1,206.5,13,1,4,isolated
299419,15,Fri,1,Jul,182,13,3,PowerPC,critical,P1,11,167,NO,1,3,314,1,-1,662.0,17,1,1,isolated
301097,5,Sun,17,Jul,198,111,5,x86,critical,--,12,114,YES,1,0,36463,0,-1,113.0,12,1,2,isolated
302536,11,Thu,28,Jul,209,13,12,x86,critical,P1,12,164,NO,1,3,6386,0,265.43,145.0,20,1,9,isolated
