bugID,page_rank,betweenness,closeness,indegree,outdegree,LOC,avg_cyclomatic,cnt_func,maxnesting,ratio_comment
752368,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
505742,54.154,245318.163,2.508,240,14,181,0,0,0,2.13
623920,136.531,1305373.858,2.508,548,68,2217,1,162,2,0.46
781571,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
774622,3.05,0.0,0.626,1,0,33,0,0,0,11.00
802827,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
713592,1.921,0.167,2.508,2,7,263,1,23,1,0.09
808296,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
783196,3.05,0.0,0.626,1,0,33,0,0,0,11.00
723495,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
581992,1.648,0.0,0.626,0,0,136332,6,1590,9,0.85
723499,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
820805,2.344,31826.34,2.508,9,13,263,1,23,1,0.09
800347,22.23,886655.558,2.508,115,23,591,2,33,4,0.34
716232,25.149,106702.1,2.508,51,67,5962,3,188,5,0.24
821224,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
408518,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
502832,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
752000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
182803,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
816654,1.761,708.771,2.508,3,38,750,8,21,6,0.11
754095,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
799977,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
761987,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
633845,25.149,106702.1,2.508,51,67,5962,3,188,5,0.24
823236,1.905,42444.462,2.508,2,8,115,2,2,1,1.41
799877,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
800838,11.698,0.0,2.508,1,5,1514,1,117,3,0.55
633927,3.426,123438.354,2.508,22,37,276,1,10,1,0.33
709438,1.648,0.0,0.626,0,0,136332,6,1590,9,0.85
809784,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
818839,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
749572,7.488,39396.0,2.508,15,14,552,3,47,2,0.04
731286,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
749578,2.094,19448.032,2.508,2,13,28,0,0,0,0.31
717497,7.285,7744.442,2.508,23,11,669,1,96,2,0.15
787017,3.05,0.0,0.626,1,0,33,0,0,0,11.00
725715,1.648,0.0,2.508,0,36,1082,5,48,7,0.21
765678,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
712302,25.149,106702.1,2.508,51,67,5962,3,188,5,0.24
586853,1.648,0.0,0.626,0,0,136332,6,1590,9,0.85
777460,150.296,248535.363,2.508,1241,8,1428,1,136,1,0.24
780454,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
801701,2.391,5729.688,2.508,6,20,774,2,60,3,0.14
767741,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
808411,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
823951,1.648,0.0,0.626,0,0,46,0,0,0,0.00
823955,1.648,0.0,0.626,0,0,46,0,0,0,0.00
743938,2.64,10675.29,2.508,8,22,386,2,34,3,0.28
527567,1.648,0.0,0.626,0,0,120,2,11,1,0.04
747006,2.029,26771.461,2.508,2,31,148,1,8,0,0.16
804768,1.648,0.0,0.626,0,0,-1,-1,-1,-1,-1
628715,3.05,0.0,0.626,1,0,33,0,0,0,11.00
760956,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
