file,LOC,avg_cyclomatic,cnt_func,maxnesting,ratio_comment
/db/mork/src/morkBead.h,277,1,16,0,1.19
/db/mork/src/morkObject.h,167,1,3,0,1.98
/db/mork/src/mork.h,249,0,0,0,1.69
/db/mork/src/morkNode.h,301,1,31,0,1.27
/db/mork/src/morkMap.h,394,1,14,1,1.55
/db/mork/src/morkProbeMap.h,431,1,13,0,1.51
/gfx/src/photon/nsGraphicsStatePh.cpp,76,2,3,1,1.62
/gfx/src/photon/nsGraphicsStatePh.h,123,2,6,2,0.66
/xpcom/base/nscore.h,494,0,0,0,100.00
/ipc/ipcd/util/src/ipcMessageReader.cpp,100,2,5,1,0.91
/ipc/ipcd/util/public/ipcMessageReader.h,89,1,4,0,2.12
/nsprpub/pr/include/prtypes.h,569,0,0,0,9.83
/xulrunner/app/nsRegisterGREUnix.cpp,288,5,8,2,0.29
/xulrunner/app/nsRegisterGRE.h,58,0,0,0,4.44
/xpcom/glue/standalone/nsXPCOMGlue.h,131,0,0,0,3.82
/xpcom/build/nsXPCOM.h,556,0,0,0,4.11
/embedding/qa/testembed/nsIFile.h,68,0,0,0,2.41
/toolkit/xre/nsAppRunner.h,181,2,3,2,2.07
/xpcom/glue/nsStringAPI.h,1421,1,167,1,0.37
/xpcom/glue/nsINIParser.h,162,1,3,0,2.12
/xpcom/glue/nsCOMPtr.h,1694,1,111,1,0.44
/nsprpub/pr/include/prio.h,2030,0,0,0,3.87
/nsprpub/pr/include/prprf.h,154,0,0,0,7.87
/nsprpub/pr/include/prenv.h,157,0,0,0,27.60
/build/wince/shunt/include/sys/stat.h,1,0,0,0,0.00
/xpcom/base/nsError.h,324,0,0,0,70.50
/plugin/oji/MRJCarbon/plugin/Source/AsyncMessage.h,59,1,2,0,5.38
/plugin/oji/MRJCarbon/plugin/Source/MRJSession.h,133,1,4,0,0.94
/toolkit/crashreporter/google-breakpad/src/client/minidump_file_writer-inl.h,94,1,7,0,0.77
/toolkit/crashreporter/google-breakpad/src/client/minidump_file_writer.h,250,1,9,1,1.42
/toolkit/crashreporter/google-breakpad/src/google_breakpad/common/minidump_size.h,107,1,9,0,0.83
/content/svg/content/src/nsSVGClassValue.h,69,1,1,0,2.73
/content/svg/content/src/nsSVGValue.h,112,1,4,0,0.96
/content/base/src/nsAttrValue.h,416,2,16,1,0.66
/xpcom/glue/nsISupportsImpl.h,1346,2,15,3,2.21
/browser/components/migration/src/nsCaminoProfileMigrator.cpp,115,1,11,2,0.92
/browser/components/migration/src/nsBrowserProfileMigratorUtils.h,118,0,0,0,1.92
/browser/components/migration/src/nsCaminoProfileMigrator.h,61,0,0,0,3.27
/xpcom/glue/nsServiceManagerUtils.h,133,1,8,1,0.51
/security/nss/lib/pk11wrap/pk11list.c,127,1,8,1,1.67
/security/nss/lib/util/seccomon.h,119,0,0,0,1.79
/security/nss/lib/util/nssilock.h,320,0,0,0,66.50
/security/nss/lib/pk11wrap/secmod.h,179,0,0,0,1.50
/security/nss/lib/pk11wrap/secmodi.h,177,0,0,0,0.57
/security/nss/lib/pk11wrap/secmodti.h,220,0,0,0,1.45
/security/nss/lib/util/nssrwlk.h,164,0,0,0,9.92
/security/nss/lib/certdb/certi.h,311,0,0,0,1.48
/security/nss/lib/certdb/certt.h,1294,0,0,0,0.90
/security/nss/lib/util/nssrwlkt.h,52,0,0,0,42.00
/nsprpub/pr/include/obsolete/protypes.h,252,0,0,0,6.53
