bugID,page_rank,betweenness,closeness,indegree,outdegree,LOC,avg_cyclomatic,cnt_func,maxnesting,ratio_comment
640934,4.305,9057.781,3.402,14,28,104,1,4,0,1.12
505742,84.595,110653.636,3.402,234,15,451,3,14,3,0.61
177796,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
774622,2.875,0.0,0.865,0,0,66,0,0,0,44.00
623638,3.202,188.246,3.402,5,42,198,2,10,2,0.40
795829,20.881,260534.208,3.402,67,34,297,10,3,5,0.62
673016,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
795826,38.454,41364.925,3.402,165,8,635,0,0,0,3.02
612261,3.029,98.733,3.402,2,22,151,1,8,0,0.79
618683,2.875,0.0,0.865,0,0,611,1,5,0,0.56
630877,34.14,569127.572,3.402,189,124,1043,1,73,3,0.81
628152,2.875,0.0,0.865,0,0,66,0,0,0,44.00
704684,7.714,213.128,3.402,33,10,261,1,18,1,1.23
728707,3.03,324.43,3.402,3,36,994,9,17,8,0.30
646152,22.455,106568.337,3.402,63,11,128416,6,1520,9,0.85
728705,13.678,46.634,3.401,22,10,192,3,8,2,0.46
540947,4.007,18863.249,3.402,6,34,769,5,30,4,0.27
637533,2.875,0.0,0.865,0,0,475,1,7,0,1.65
519356,2.875,0.0,0.865,0,0,7231,13,146,10,0.49
704686,4.935,50946.536,3.402,13,43,565,1,19,2,1.44
519370,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
667025,3.756,62032.603,3.402,13,98,191,1,11,1,0.98
776532,6.541,964.156,3.401,12,19,254,3,11,2,0.79
595572,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
573590,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
807038,9.444,2158.115,3.402,24,12,318,1,23,1,0.57
611810,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
581992,22.455,106568.337,3.402,63,11,128416,6,1520,9,0.85
635191,3.692,306276.245,3.402,7,96,371,1,9,0,0.73
702042,7.494,8609.062,3.402,6,18,798,5,21,5,0.18
547647,3.405,2601.501,3.402,4,24,175,4,4,2,0.98
629950,47.53,564875.253,3.402,304,33,1279,1,33,0,1.82
777225,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
551384,2.875,0.0,0.865,0,0,1945,7,58,4,0.24
171781,6.917,123139.094,3.402,38,90,622,2,15,4,0.91
597535,34.14,569127.572,3.402,189,124,1043,1,73,3,0.81
631453,5.196,67739.409,3.402,6,27,127,1,3,1,0.63
616117,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
571507,2.875,0.0,0.865,0,0,417,3,21,3,0.17
467499,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
533717,5.179,9074.599,3.402,8,21,400,3,21,3,0.48
695848,3.037,0.0,3.402,3,0,78,0,0,0,2.05
528645,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
613182,44.209,9218.204,3.402,262,11,105,1,9,2,0.63
614779,3.074,32.912,3.402,2,28,398,2,29,2,0.24
382356,2.875,0.0,0.865,0,0,1634,3,19,3,0.42
635519,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
705941,44.209,9218.204,3.402,262,11,105,1,9,2,0.63
720480,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
602797,2.875,0.0,0.865,0,0,1945,7,58,4,0.24
646534,2.875,0.0,0.865,0,0,-1,-1,-1,-1,-1
638074,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
481933,2.875,0.0,3.401,0,10,184,5,5,2,0.35
592214,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
514592,2.875,0.0,3.401,0,10,65,1,9,0,1.24
550258,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
205735,3.409,1322.529,3.402,8,52,250,1,12,1,0.54
605770,6.74,779174.951,3.402,33,78,3055,4,127,5,0.17
707614,2.875,0.0,3.401,0,9,59,4,3,2,0.52
684497,3.56,7342.16,3.402,5,28,67,0,0,0,8.33
795729,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
697420,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
606173,3.247,9.474,3.402,3,15,1452,2,108,3,0.63
687768,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
817704,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
654877,23.743,10043.531,3.401,33,27,259,1,6,1,0.39
589195,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
293460,2.987,35671.009,3.402,3,115,4714,6,137,8,0.28
704703,2.875,0.0,0.865,0,0,540,1,78,1,0.35
578977,2.875,0.0,0.865,0,0,7231,13,146,10,0.49
336466,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
445077,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
641227,2.875,0.0,0.865,0,0,1848,2,67,3,0.09
641226,2.875,0.0,0.865,0,0,66,0,0,0,44.00
669767,3.128,62868.249,3.402,7,84,1651,7,55,5,0.19
723466,6.656,124314.319,3.402,28,59,292,1,3,0,0.44
723464,14.873,3505.39,3.402,32,54,6375,6,185,8,0.26
592698,3.611,13268.87,3.402,4,32,849,6,18,5,0.42
618991,3.853,27.642,3.401,2,5,158,2,4,2,1.00
603356,6.821,4755.58,3.402,10,31,117,0,0,0,2.18
795821,2.918,0.333,3.401,1,9,59,0,0,0,1.37
745784,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
633927,5.519,88271.558,3.402,21,40,285,1,10,1,0.63
577677,3.756,62032.603,3.402,13,98,8049,4,266,7,0.21
545960,2.875,0.0,0.865,0,0,-1,-1,-1,-1,-1
350267,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
676571,28.286,19239.744,3.402,53,27,367,1,6,0,1.46
669787,3.165,4420.128,3.402,3,55,2321,3,106,5,0.22
536617,22.455,106568.337,3.402,63,11,128416,6,1520,9,0.85
809789,28.78,130022.389,3.402,55,38,120,2,7,2,0.89
637596,2.875,0.0,0.865,0,0,66,0,0,0,44.00
635676,5.519,88271.558,3.402,21,40,285,1,10,1,0.63
668965,6.656,124314.319,3.402,28,59,292,1,3,0,0.44
609244,2.934,0.0,3.401,1,0,1465,2,26,2,0.78
678268,6.656,124314.319,3.402,28,59,292,1,3,0,0.44
537630,3.035,232.114,3.402,3,24,61,0,0,0,6.67
97444,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
609243,8.382,54941.763,3.402,25,59,7247,13,105,7,0.18
522286,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
719117,2.875,0.0,0.865,0,0,66,0,0,0,44.00
102936,2.948,0.0,3.402,1,34,5201,6,172,7,0.26
719115,12.063,308703.324,3.402,89,65,2268,1,158,2,1.01
559138,2.875,0.0,0.865,0,0,-1,-1,-1,-1,-1
719113,27.391,2699.398,3.402,58,38,408,2,27,2,0.21
641327,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
654494,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
719110,3.098,381.586,3.402,3,48,328,2,14,1,0.52
632343,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
655940,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
617649,2.875,0.0,0.865,0,0,4070,8,96,7,0.18
772631,4.976,21653.123,3.402,9,46,611,1,5,0,0.56
223144,2.875,0.0,0.865,0,0,1703,3,7,3,0.10
745502,4.541,0.0,3.402,19,0,78,0,0,0,2.05
668565,4.005,110214.54,3.402,9,106,3257,4,189,7,0.21
649079,3.692,306276.245,3.402,7,96,371,1,9,0,0.73
655781,3.098,381.586,3.402,3,48,328,2,14,1,0.52
584802,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
787014,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
678710,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
765671,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
362724,9.51,57.671,3.402,59,7,407,2,6,1,3.62
762581,14.873,3505.39,3.402,32,54,6375,6,185,8,0.26
578150,3.035,232.114,3.402,3,24,61,0,0,0,6.67
501960,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
703402,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
685916,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
