file,LOC,avg_cyclomatic,cnt_func,maxnesting,ratio_comment
/security/nss/lib/libpkix/pkix/top/pkix_validate.c,1404,51,9,6,0.48
/security/nss/lib/libpkix/pkix/top/pkix_validate.h,75,0,0,0,2.39
/security/nss/lib/libpkix/pkix/util/pkix_tools.h,1622,0,0,0,0.75
/security/nss/lib/libpkix/include/pkixt.h,518,0,0,0,1.99
/security/nss/lib/util/secport.h,293,0,0,0,1.03
/gfx/thebes/gfxGDIShaper.cpp,92,10,1,2,0.14
/gfx/thebes/gfxGDIShaper.h,30,1,2,0,0.31
/xpcom/glue/nsDebug.h,337,0,0,0,16.50
/gfx/angle/samples/gles2_book/Stencil_Test/Stencil_Test.c,273,2,4,1,0.90
/gfx/angle/samples/gles2_book/Common/esUtil.h,297,0,0,0,3.49
/gfx/angle/include/GLES2/gl2.h,621,0,0,0,0.55
/js/src/vm/ArgumentsObject.cpp,572,5,18,4,0.23
/js/src/jsgc.h,1113,2,60,2,0.29
/js/src/jsinfer.h,1271,1,66,1,1.02
/js/src/jsinterp.h,329,1,6,0,1.19
/js/src/vm/GlobalObject.h,354,2,27,1,0.39
/js/src/vm/MethodGuard.h,84,0,0,0,5.55
/js/src/vm/Stack.h,1899,1,199,2,0.59
/js/src/vm/Xdr.h,310,2,24,2,0.11
/js/src/jsobjinlines.h,1671,2,172,3,0.12
/js/src/gc/Barrier-inl.h,439,1,50,1,0.03
/js/src/vm/ArgumentsObject-inl.h,184,1,20,2,0.12
/js/src/jsapi.h,5693,1,240,1,0.61
/js/src/jsscope.h,1162,1,104,3,0.52
/js/src/jstypes.h,289,0,0,0,43.67
/js/src/jsversion.h,168,0,0,0,0.00
/nsprpub/pr/include/prtypes.h,540,0,0,0,9.96
/ipc/chromium/src/chrome/common/app_cache/app_cache_context_impl.h,48,1,2,0,0.32
/ipc/chromium/src/base/id_map.h,105,2,12,2,0.34
/ipc/chromium/src/chrome/common/ipc_message.h,337,1,41,1,0.29
/tools/profiler/sampler.h,79,0,0,0,0.00
/tools/profiler/sps_sampler.h,288,2,12,1,0.31
/dom/plugins/base/nptypes.h,88,0,0,0,0.00
/toolkit/crashreporter/google-breakpad/src/google_breakpad/common/breakpad_types.h,83,0,0,0,8.80
/nsprpub/pr/include/obsolete/protypes.h,199,0,0,0,4.43
/xpcom/base/nscore.h,469,0,0,0,60.00
/modules/freetype2/builds/vms/ftsystem.c,328,2,7,1,0.89
