bugID,page_rank,betweenness,closeness,indegree,outdegree,LOC,avg_cyclomatic,cnt_func,maxnesting,ratio_comment
675437,3.5,0.0,4.198,0,5,107,16,1,2,0.84
663924,13.347,88.513,4.196,9,4,589,7,20,2,0.31
616572,7.944,630773.974,4.198,24,146,1180,2,10,2,0.42
505742,119.614,186023.241,4.198,228,12,446,3,12,3,0.64
550758,4.792,169.852,4.198,9,25,285,4,7,2,0.33
551448,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
623638,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
344064,4.569,1.486,4.198,5,4,62,1,1,0,5.00
496973,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
673016,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
612261,3.759,27.261,4.198,2,15,147,1,8,0,0.81
576933,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
618683,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
630877,30.279,425045.469,4.198,142,90,1072,1,48,1,1.05
704684,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
646151,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
646152,3.5,0.0,1.083,0,0,113967,7,1055,9,0.71
733563,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
519356,3.5,0.0,1.083,0,0,6309,8,123,7,0.48
702142,5.511,32072.938,4.198,15,66,6923,6,204,8,0.19
700364,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
519370,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
343868,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
348981,3.791,1.75,4.198,2,18,420,2,31,3,0.19
573590,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
431250,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
611810,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
581992,3.5,0.0,1.083,0,0,113967,7,1055,9,0.71
551384,4.792,169.852,4.198,9,25,285,4,7,2,0.33
171781,4.544,58375.163,4.198,6,83,457,1,13,1,0.67
680862,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
492675,12.127,94633.764,4.198,40,34,286,1,6,2,1.15
616117,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
571507,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
331883,13.426,9156.286,4.198,96,50,1591,5,48,7,0.29
467499,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
533717,6.246,4126.929,4.198,7,15,329,3,17,3,0.48
485134,4.211,457.96,4.198,5,32,130,1,1,0,1.46
646355,11.147,25898.81,4.198,10,11,1912,5,70,6,0.19
467493,12.927,28359.438,4.198,83,40,2264,7,44,7,0.34
613182,25.412,1281.433,4.198,109,10,103,1,9,1,0.65
382356,3.5,0.0,1.083,0,0,1980,3,20,3,0.43
705941,25.412,1281.433,4.198,109,10,103,1,9,1,0.65
551997,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
615646,3.791,166.486,4.198,3,66,332,1,1,0,0.38
602797,4.792,169.852,4.198,9,25,1886,6,54,4,0.25
504180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
515243,3.5,0.0,1.083,0,0,9669,7,323,8,0.20
632504,3.5,0.0,1.083,0,0,134,1,8,1,1.36
486805,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
524958,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
514592,5.311,0.0,4.197,7,0,236,0,0,0,0.45
