bugID,page_rank,betweenness,closeness,indegree,outdegree,LOC,avg_cyclomatic,cnt_func,maxnesting,ratio_comment
590695,3.165,0.0,0.955,0,0,697,6,17,4,0.13
505742,90.194,298404.916,3.526,234,15,443,3,14,3,0.59
550758,4.052,712.396,3.526,10,31,304,5,7,2,0.30
774622,3.165,0.0,0.955,0,0,64,0,0,0,44.00
623638,3.498,376.349,3.526,5,41,198,2,10,2,0.40
681593,3.499,40601.875,3.526,3,21,2430,11,60,7,0.20
673016,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
795826,43.445,11380.511,3.526,163,8,608,0,0,0,3.31
612261,3.334,40.795,3.526,2,22,150,1,8,0,0.78
618683,3.165,0.0,0.955,0,0,3663,3,68,4,0.15
630877,28.566,587314.613,3.526,185,113,1079,1,63,3,0.76
628152,3.165,0.0,0.955,0,0,64,0,0,0,44.00
704684,8.322,109.933,3.526,32,10,261,1,18,1,1.23
646151,3.165,0.0,0.955,0,0,-1,-1,-1,-1,-1
646152,13.066,615445.965,3.526,33,15,123309,6,1492,9,0.85
732508,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
540947,4.329,5074.945,3.526,6,28,623,6,26,4,0.27
519356,3.165,0.0,0.955,0,0,98,0,0,0,0.00
704686,5.425,74952.763,3.526,13,41,555,1,19,2,1.40
721645,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
572187,3.24,20548.388,3.526,1,6,206,1,10,0,0.90
733892,3.165,0.0,0.955,0,0,3066,5,118,7,0.22
640934,4.437,7418.644,3.526,13,34,440,7,10,5,0.40
573590,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
635192,3.947,23537.228,3.526,8,57,2440,31,20,5,0.15
611810,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
581992,13.066,615445.965,3.526,33,15,123309,6,1492,9,0.85
635191,3.974,2191836.059,3.526,7,97,370,1,9,0,0.74
547647,3.789,2500.001,3.526,4,23,175,4,4,2,0.98
777225,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
551384,4.052,712.396,3.526,10,31,304,5,7,2,0.30
680862,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
616117,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
571507,3.165,0.0,0.955,0,0,409,2,21,3,0.18
535948,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
467499,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
533717,5.427,7066.073,3.526,7,21,400,3,21,3,0.48
467493,11.339,15946.709,3.526,83,37,2351,7,43,7,0.36
613182,45.686,6409.51,3.526,251,11,105,1,9,2,0.63
382356,3.165,0.0,0.955,0,0,1637,3,19,3,0.42
635519,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
705941,45.686,6409.51,3.526,251,11,105,1,9,2,0.63
615646,3.249,0.0,3.526,1,33,5054,6,172,7,0.27
602797,4.767,1103.89,3.526,15,33,1989,7,58,4,0.22
638074,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
677848,4.85,15288.6,3.526,14,32,375,1,15,0,0.13
481933,3.165,0.0,3.525,0,10,184,5,5,2,0.35
592214,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
514592,3.165,0.0,3.525,0,11,65,1,9,0,1.24
550258,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
205735,3.776,983.727,3.526,8,49,237,1,11,1,0.56
600042,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
605770,7.408,873793.886,3.526,32,82,2998,4,124,5,0.17
707614,3.165,0.0,3.525,0,11,59,4,3,2,0.52
684497,3.286,3.0,3.526,1,7,67,0,0,0,8.33
795729,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
697420,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
702215,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
687768,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
654877,13.759,1603.453,3.526,28,30,174,0,0,0,0.61
546301,5.381,7949.74,3.526,18,28,221,1,18,2,1.19
293460,3.289,32006.134,3.526,3,112,4741,6,138,8,0.28
704703,3.165,0.0,0.955,0,0,540,1,78,1,0.35
578977,3.165,0.0,0.955,0,0,98,0,0,0,0.00
336466,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
445077,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
641226,3.165,0.0,0.955,0,0,64,0,0,0,44.00
641224,3.165,0.0,3.525,0,1,690,5,22,4,0.27
723466,5.257,122691.63,3.526,22,56,252,1,3,0,0.43
592698,3.97,11175.517,3.526,4,32,836,7,16,5,0.43
618991,4.281,139.639,3.525,2,4,81,0,0,0,0.00
607248,28.252,1177129.132,3.526,9,37,3625,2,149,5,0.18
795821,3.212,101.895,3.525,1,11,194,2,11,1,1.02
545195,5.427,7066.073,3.526,7,21,400,3,21,3,0.48
633927,6.162,122453.269,3.526,21,39,283,1,10,1,0.64
783517,3.165,0.0,0.955,0,0,135,1,2,0,1.06
577677,4.124,56962.346,3.526,13,96,7811,4,257,7,0.21
545960,3.165,0.0,0.955,0,0,-1,-1,-1,-1,-1
350267,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
676571,16.593,11581.928,3.525,39,26,624,2,33,3,0.22
669787,3.524,3428.611,3.526,3,51,452,1,18,1,0.28
536617,13.066,615445.965,3.526,33,15,123309,6,1492,9,0.85
635676,6.162,122453.269,3.526,21,39,283,1,10,1,0.64
672870,3.165,0.0,3.525,0,3,498,1,3,0,0.20
609244,3.228,0.0,3.524,1,0,1043,2,26,2,0.42
537630,3.349,200.208,3.526,3,23,1092,1,41,2,0.47
97444,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
609243,9.198,48335.958,3.526,25,59,7183,13,105,7,0.18
719117,3.165,0.0,0.955,0,0,64,0,0,0,44.00
700288,30.831,1998911.352,3.526,200,107,838,1,2,0,0.93
559138,3.165,0.0,0.955,0,0,-1,-1,-1,-1,-1
654494,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
719110,3.411,230.462,3.526,3,47,328,2,14,1,0.52
632343,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
655940,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
747296,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
617649,3.165,0.0,0.955,0,0,4069,8,96,7,0.18
772631,5.605,20998.674,3.526,9,43,3663,3,68,4,0.15
223144,3.165,0.0,0.955,0,0,2219,2,95,4,0.11
579558,5.425,74952.763,3.526,13,41,555,1,19,2,1.40
668565,4.418,106075.791,3.526,9,103,3275,4,188,7,0.21
649079,3.974,2191836.059,3.526,7,97,370,1,9,0,0.74
602773,3.611,953.155,3.526,2,28,64,0,0,0,2.93
683197,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
787014,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
678710,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
765671,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
762581,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
578150,3.349,200.208,3.526,3,23,1092,1,41,2,0.47
658479,3.965,15.641,3.525,6,10,238,2,11,3,0.44
703402,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
564455,3.974,2191836.059,3.526,7,97,370,1,9,0,0.74
694943,3.165,0.0,0.955,0,0,77,1,1,0,8.00
432284,3.165,0.0,0.955,0,0,1245,7,30,5,0.29
519370,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
655835,28.252,1177129.132,3.526,9,37,3625,2,149,5,0.18
655834,15.951,98526.785,3.526,76,28,1834,4,48,4,0.13
592679,3.605,2232.944,3.526,4,36,74,1,1,0,3.29
427167,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
556620,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
597333,4.124,56962.346,3.526,13,96,7811,4,257,7,0.21
677368,3.165,0.0,0.955,0,0,64,0,0,0,44.00
723659,6.947,179738.827,3.526,28,146,9462,4,268,7,0.24
543327,3.165,0.0,0.955,0,0,3066,5,118,7,0.22
597886,3.165,0.0,3.525,0,11,59,4,3,2,0.52
391132,22.822,59377.83,3.526,89,32,529,2,18,1,0.74
627712,4.672,27487.088,3.525,6,16,565,0,0,0,0.00
627716,5.806,40610.181,3.526,17,55,1391,4,44,3,0.15
592835,3.508,11496.747,3.526,5,100,4263,4,215,9,0.18
528261,3.377,110.491,3.526,2,32,150,2,6,1,1.11
703624,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
701533,3.165,0.0,0.955,0,0,64,0,0,0,44.00
628711,3.165,0.0,0.955,0,0,98,0,0,0,0.00
