bugID,page_rank,betweenness,closeness,indegree,outdegree,LOC,avg_cyclomatic,cnt_func,maxnesting,ratio_comment
590695,3.062,0.0,0.953,0,0,697,6,17,4,0.13
505742,90.331,258036.329,3.536,234,14,451,3,14,3,0.61
177796,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
687099,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
623638,3.399,107.194,3.536,5,41,198,2,10,2,0.40
795829,20.199,419727.342,3.536,63,31,847,2,45,4,0.19
673016,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
795826,41.374,10136.94,3.536,159,8,608,0,0,0,3.31
612261,3.226,10.803,3.536,2,22,150,1,8,0,0.78
576933,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
618683,3.062,0.0,0.953,0,0,3745,3,70,4,0.15
630877,34.794,516334.237,3.536,186,118,1126,1,75,3,0.73
628152,3.062,0.0,0.953,0,0,64,0,0,0,44.00
704684,7.928,96.565,3.536,31,10,261,1,18,1,1.23
646151,3.062,0.0,0.953,0,0,-1,-1,-1,-1,-1
646152,5.172,3992.031,3.536,6,14,128416,6,1520,9,0.85
728705,12.954,143.249,3.535,24,11,191,3,8,2,0.46
540947,4.303,2734.378,3.536,6,28,638,6,27,4,0.27
637533,3.062,0.0,0.953,0,0,475,1,7,0,1.65
519356,3.062,0.0,0.953,0,0,84,0,0,0,3.00
704686,5.218,18248.976,3.536,13,40,555,1,19,2,1.40
721645,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
572187,3.062,0.0,3.536,0,6,206,1,10,0,0.90
733892,3.062,0.0,0.953,0,0,146,1,2,0,1.12
640934,4.46,7294.981,3.536,13,32,104,1,4,0,1.12
573590,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
611810,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
581992,5.172,3992.031,3.536,6,14,128416,6,1520,9,0.85
635191,3.798,49331.845,3.536,7,96,371,1,9,0,0.73
702042,11.02,9122.939,3.536,6,18,798,5,21,5,0.18
551384,3.881,167.574,3.536,10,28,304,5,7,2,0.30
597535,34.794,516334.237,3.536,186,118,1126,1,75,3,0.73
631453,3.062,0.0,0.953,0,0,127,1,3,1,0.63
616117,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
571507,3.062,0.0,0.953,0,0,409,2,21,3,0.18
467499,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
533717,5.357,3845.651,3.536,7,21,400,3,21,3,0.48
646355,6.63,649.937,3.536,11,16,147,1,1,0,0.97
467493,11.007,8931.382,3.536,83,36,2351,7,43,7,0.36
613182,46.587,7776.337,3.536,256,11,105,1,9,2,0.63
547889,3.381,112.269,3.535,1,25,93,1,7,0,0.88
382356,3.062,0.0,0.953,0,0,1637,3,19,3,0.42
635519,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
705941,46.587,7776.337,3.536,256,11,105,1,9,2,0.63
615646,3.143,0.0,3.536,1,33,5095,6,172,7,0.26
626841,25.392,88098.227,3.536,86,81,3246,6,132,6,0.16
638074,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
677848,4.766,18698.625,3.536,14,31,375,1,15,0,0.13
681593,3.387,405.787,3.536,3,21,2429,11,60,7,0.20
481933,3.062,0.0,3.535,0,11,184,5,5,2,0.35
592214,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
514592,3.062,0.0,3.535,0,13,65,1,9,0,1.24
550258,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
205735,3.66,5892.157,3.536,8,49,237,1,11,1,0.56
769754,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
605770,7.29,2396190.245,3.536,33,81,2993,4,123,5,0.16
707614,3.062,0.0,3.535,0,13,59,4,3,2,0.52
684497,6.003,96201.807,3.536,6,27,67,0,0,0,8.33
795729,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
697420,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
606173,3.47,13.91,3.536,3,15,1336,2,103,3,0.64
687768,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
444813,3.547,4772.568,3.536,4,43,499,3,22,4,0.21
546301,3.062,0.0,0.953,0,0,221,1,18,2,1.19
293460,3.183,31226.515,3.536,3,111,4743,6,138,8,0.28
704703,3.062,0.0,0.953,0,0,540,1,78,1,0.35
578977,3.062,0.0,0.953,0,0,84,0,0,0,3.00
445077,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
641226,3.062,0.0,0.953,0,0,64,0,0,0,44.00
641224,3.062,0.0,3.534,0,1,184,0,0,0,0.90
723466,5.712,63661.97,3.536,24,58,283,1,3,0,0.44
723464,15.094,11471.033,3.536,34,57,6224,6,180,8,0.25
592698,3.811,9344.149,3.536,4,33,836,7,16,5,0.43
618991,3.863,38.084,3.535,2,6,81,0,0,0,0.00
795821,3.062,0.0,0.953,0,0,570,0,0,0,40.00
745784,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
633927,6.07,321434.742,3.536,21,39,283,1,10,1,0.64
783517,3.062,0.0,0.953,0,0,135,1,2,0,1.06
545960,3.062,0.0,0.953,0,0,-1,-1,-1,-1,-1
