bugID,page_rank,betweenness,closeness,indegree,outdegree,LOC,avg_cyclomatic,cnt_func,maxnesting,ratio_comment
640934,4.249,8346.695,3.448,14,32,465,6,11,6,0.36
505742,87.331,161861.213,3.448,234,15,451,3,14,3,0.61
550758,2.919,0.0,0.876,0,0,3720,8,73,6,0.20
774622,2.919,0.0,0.876,0,0,64,0,0,0,44.00
623638,3.231,397.949,3.448,5,43,198,2,10,2,0.40
681593,5.191,0.746,3.447,14,1,2408,11,61,7,0.20
673016,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
795826,38.416,32901.197,3.448,161,8,618,0,0,0,3.31
612261,3.076,88.763,3.448,2,22,151,1,8,0,0.79
618683,2.919,0.0,0.876,0,0,3775,3,70,4,0.15
630877,36.154,702484.041,3.448,192,125,1121,1,80,3,0.72
628152,2.919,0.0,0.876,0,0,64,0,0,0,44.00
704684,7.712,294.18,3.448,32,10,261,1,18,1,1.23
646151,2.919,0.0,0.876,0,0,-1,-1,-1,-1,-1
728705,13.416,86.072,3.447,24,11,192,3,8,2,0.46
610448,2.919,0.0,0.876,0,0,269,1,5,0,0.42
540947,4.026,3900.202,3.448,6,32,728,6,27,4,0.27
519356,2.919,0.0,0.876,0,0,84,0,0,0,3.00
814953,3.434,4254.708,3.448,5,35,709,1,18,1,0.42
704686,5.002,63559.206,3.448,13,41,562,1,19,2,1.44
716336,6.779,587724.113,3.448,32,84,2986,4,128,5,0.17
721645,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
572187,2.919,0.0,3.448,0,6,206,1,10,0,0.90
776532,6.114,708.361,3.447,12,19,262,3,11,2,0.74
595572,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
703402,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
807038,9.409,2034.717,3.448,26,12,318,1,23,1,0.57
611810,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
581992,23.196,48511.472,3.448,61,10,128416,6,1520,9,0.85
635191,3.745,285215.345,3.448,7,96,371,1,9,0,0.73
702042,7.706,1205.308,3.448,2,18,798,5,21,5,0.18
547647,3.495,2369.17,3.448,4,23,175,4,4,2,0.98
551384,2.919,0.0,0.876,0,0,3720,8,73,6,0.20
171781,7.114,115929.075,3.448,38,90,624,2,15,4,0.90
597535,36.154,702484.041,3.448,192,125,1121,1,80,3,0.72
631453,3.46,41532.138,3.448,4,29,127,1,3,1,0.63
616117,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
571507,2.919,0.0,0.876,0,0,417,3,21,3,0.17
467499,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
533717,5.259,7954.531,3.448,7,21,400,3,21,3,0.48
695848,3.156,0.0,3.447,3,0,78,0,0,0,2.05
528645,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
613182,47.88,6824.522,3.448,260,11,105,1,9,2,0.63
637593,3.732,91984.455,3.448,15,62,353,1,18,1,0.79
382356,2.919,0.0,0.876,0,0,1637,3,19,3,0.42
635519,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
153979,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
560584,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
720480,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
602797,2.919,0.0,0.876,0,0,1937,7,58,4,0.24
646534,2.919,0.0,0.876,0,0,-1,-1,-1,-1,-1
638074,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
